병원명,Latitude,Longitude
계명대학교동산병원,35.8540041,128.4801888
인제대학교 해운대백병원,35.1732532,129.1821589
인제대학교부산백병원,35.1461123,129.0207461
단국대학교의과대학부속병원,36.8432693,127.1724148
동국대학교일산불교병원,37.6764074,126.8063911
영남대학교병원,35.8480457,128.5829782
재단법인아산사회복지재단 서울아산병원,37.5251213,127.1094301
강동경희대학교병원,37.5535554,127.1576134
한림대학교 한강성심병원,37.5231742,126.9096861
동아대학교병원,35.1197727,129.0167009
한국보훈복지의료공단 부산보훈병원,35.1538568,129.0077935
학교법인 가톨릭학원 가톨릭대학교 대전성모병원,36.3226959,127.4207433
인하대학교의과대학부속병원,37.4594035,126.633378
학교법인성균관대학삼성창원병원,35.2423308,128.5924818
의료법인 길의료재단 길병원,37.4518948,126.7091465
조선대학교병원,35.1398714,126.9244682
학교법인 건양교육재단 건양대학교병원,36.3059600,127.3441716
학교법인가톨릭학원가톨릭대학교서울성모병원,37.5012285,127.0064426
경희대학교병원,37.5937758,127.0507345
가톨릭대학교부천성모병원,37.4870437,126.7924117
순천향대학교부속 천안병원,36.8029007,127.1378693
대구파티마병원,35.8834951,128.6232323
학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),37.5872216,127.0272826
대구가톨릭대학교병원,35.8436850,128.5685573
원광대학교병원,35.9646135,126.9586345
학교법인 울산공업학원 울산대학교병원,35.5200518,129.4287979
분당서울대학교병원,37.3486036,127.1254533
순천향대학교 부속 서울병원,37.5336519,127.0046897
성가롤로병원,34.9633992,127.5427418
가톨릭대학교 은평성모병원,37.6336027,126.9161464
경북대학교병원,35.8655877,128.6050254
가톨릭대학교의정부성모병원,37.7577282,127.0775359
건국대학교병원,37.5409916,127.072253
계명대학교대구동산병원,35.8694584,128.5829151
성심의료재단강동성심병원,37.5361466,127.1353268
창원한마음병원,35.2379500,128.6990138
삼성서울병원,37.4882451,127.0851778
고신대학교복음병원,35.0806930,129.0155384
재단법인일신기독교선교회 일신기독병원,35.1355127,129.0538815
고려대학교의과대학부속구로병원,37.4921617,126.8855413
칠곡경북대학교병원,35.9561388,128.5652686
가톨릭대학교 성빈센트병원,37.2784571,127.0271561
인천세종병원,37.5325312,126.7368515
동국대학교의과대학경주병원,35.8583296,129.195242
가톨릭대학교 여의도성모병원,37.5178115,126.9355855
광주보훈병원,35.2080318,126.8480938
가톨릭대학교인천성모병원,37.4839186,126.7252889
충북대학교병원,36.6241581,127.4615712
충남대학교병원,36.3161290,127.4154696
효산의료재단 안양샘병원,37.3930633,126.9244228
빛고을전남대학교병원,35.0941885,126.8961878
인제대학교 상계백병원,37.6485787,127.0631121
창원파티마병원,35.2372337,128.6444831
곽병원,35.8704693,128.5887773
의료법인 인당의료재단 해운대부민병원,35.1614199,129.155654
한국보훈복지의료공단 대구보훈병원,35.8028211,128.5517076
한림대학교춘천성심병원,37.8837214,127.7403684
국민건강보험공단일산병원,37.6454667,126.7930313
부천세종병원,37.4807614,126.7909215
의료법인루가의료재단 나은병원,37.4890555,126.6797747
경상국립대학교병원,35.1771972,128.0952003
한림병원,37.5322445,126.7343304
연세대학교의과대학 강남세브란스병원,37.4920863,127.0463104
노원을지대학교병원,37.6364267,127.0699271
청주성모병원,36.6743408,127.4863688
고려대학교의과대학부속안산병원,37.3177037,126.8246661
양산부산대학교병원,35.3239437,129.0092842
학교법인)동의병원,35.1696618,129.0771938
인제대학교일산백병원,37.6742710,126.7503704
연세대학교 의과대학 용인세브란스병원,37.2704214,127.14444
효산의료재단 지샘병원,37.3586679,126.947315
순천향대학교부속부천병원,37.4981429,126.7620674
가톨릭관동대학교 국제성모병원,37.5423419,126.6835607
부민병원,37.5568554,126.8508976
한림대학교 강남성심병원,37.4932442,126.9086661
학교법인 을지학원 의정부을지대학교병원,37.7520938,127.0528099
동남권원자력의학원원자력병원,35.3218702,129.2431598
중앙대학교병원,37.5067977,126.9608089
성애의료재단 성애병원,37.5120421,126.9223676
강릉아산병원,37.8188429,128.8578719
경찰병원,37.4967041,127.1241379
대전한국병원,36.3481735,127.4358296
의료법인 인천사랑병원,37.4621926,126.6806789
에스포항병원,36.0348194,129.3314015
이화여자대학교의과대학부속서울병원,37.5572608,126.8362661
강북삼성병원,37.5680081,126.9667093
인천광역시의료원,37.4780672,126.6680421
연세대학교의과대학세브란스병원,37.5620572,126.9409472
연세대학교 원주세브란스기독병원,37.3489701,127.9456461
의료법인구의료재단 구병원,35.8506764,128.541376
포항성모병원,36.0158479,129.3405602
삼육서울병원,37.5896806,127.0643402
학교법인 을지학원 대전을지대학교병원,36.3552997,127.3819794
경상북도김천의료원,36.1228410,128.1262377
의료법인명지의료재단명지병원,37.6421951,126.8317253
전남대학교병원,35.1406738,126.9225416
재단법인예수병원유지재단예수병원,35.8139127,127.1332595
검단탑병원,37.5922152,126.670998
드림종합병원,35.8396114,128.5744596
화순전남대학교병원,35.0601477,127.0011144
세종충남대학교병원,36.5195061,127.2579325
충청남도 천안의료원,36.7754796,127.1792703
아주대학교병원,37.2797566,127.0482874
차의과학대학교분당차병원,37.4101937,127.1250678
근로복지공단 동해병원,37.5319472,129.1064324
차의과학대학교 강남차병원,37.5065258,127.034671
한양대학교병원,37.5601933,127.0441427
충청북도 청주의료원,36.6398024,127.4735329
한림대학교동탄성심병원,37.2165138,127.0799415
한국보훈복지의료공단 중앙보훈병원,37.5305064,127.1479513
제주대학교병원,33.4672055,126.5452001
경상남도마산의료원,35.1991651,128.565551
대진의료재단 분당제생병원,37.3881986,127.121777
서울특별시보라매병원,37.4930233,126.9241657
근로복지공단 대전병원,36.3676970,127.4290025
이화여자대학교의과대학부속목동병원,37.5367861,126.8852659
의료법인 남촌의료재단 시화병원,37.3499536,126.7369647
의료법인안동병원,36.5466885,128.7011053
국립암센터,37.6641772,126.7824114
경상북도안동의료원,36.5677461,128.7329233
부산광역시의료원,35.1874275,129.0601739
의료법인영훈의료재단 유성선병원,36.3745051,127.3252835
서울특별시서울의료원,37.6128386,127.0980606
전북대학교병원,35.8476729,127.1434916
서울대학교병원,37.5775992,126.9998347
한림대학교성심병원,37.3912913,126.9615583
전라남도 순천의료원,34.9577787,127.4838442
의료법인한전의료재단 한일병원,37.6457255,127.0290205
대전보훈병원,36.4473082,127.439687
근로복지공단 창원병원,35.2192649,128.6716992
울산병원,35.5460995,129.3225465
순천향대학교 부속 구미병원,36.1029564,128.3832545
한국원자력의학원원자력병원,37.6302067,127.0822593
한양대학교구리병원,37.6009006,127.1327113
의료법인 우범의료재단 장흥종합병원,34.6774491,126.911236
서울특별시 동부병원,37.5753496,127.0315025
부산성모병원(재단법인 천주교부산교구유지재단),35.1105017,129.1091774
의료법인성광의료재단일산차병원,37.6541316,126.7757288
의료법인 오성의료재단 동군산병원,35.9776687,126.7365052
창원경상국립대학교병원,35.1992538,128.7078476
광주수완병원,35.1931039,126.8241904
중앙대학교광명병원,37.4245886,126.8859018
의료법인 인당의료재단 부민병원,35.2119592,129.0112072
의료법인 대우의료재단대우병원,34.8717755,128.7214623
서울특별시서남병원,37.5120136,126.8331254
좋은문화병원,35.1404070,129.0589028
전북특별자치도 남원의료원,35.4317224,127.4081963
의료법인백송의료재단 굿모닝병원,36.9908347,127.1202251
차의과학대학교부속구미차병원,36.1145950,128.3407072
경상북도포항의료원,36.0351975,129.3537183
강원특별자치도영월의료원,37.1868271,128.4649946
건국대학교 충주병원,36.9790121,127.9288054
의료법인청언의료재단 순천제일병원,34.9548376,127.5244574
남양주 한양병원,37.6823127,127.2043714
재단법인천주교부산교구유지재단 메리놀병원,35.1077677,129.0321132
재단법인베스티안재단베스티안병원,36.6364264,127.3216402
의료법인우리의료재단김포우리병원,37.6322098,126.7108435
대동병원,35.2043073,129.0801923
영주적십자병원,36.8252533,128.604004
미즈메디병원,37.5521749,126.835847
충청남도 서산의료원,36.7757452,126.4649709
강원특별자치도강릉의료원,37.7497880,128.8888331
광주기독병원,35.1372464,126.912972
의료법인서울효천의료재단 에이치플러스양지병원,37.4842747,126.9323541
목포시의료원,34.8046152,126.4052912
재단법인베스티안재단베스티안서울병원,37.5651054,127.0280112
대림성모병원,37.4906858,126.9071591
상주적십자병원,36.4144317,128.155295
대구가톨릭대학교 칠곡가톨릭병원,35.9349127,128.5492864
의료법인 혜인의료재단 한국병원,33.5002664,126.5170841
구미강동병원,36.0962034,128.4227806
충청남도 공주의료원,36.4588733,127.1094877
안동성소병원,36.5674642,128.7226599
여수전남병원,34.7450927,127.7277628
의료법인 은성의료재단 좋은삼선병원,35.1501527,129.0076702
전북특별자치도 군산의료원,35.9549253,126.7119075
부산대학교병원,35.1002302,129.0192132
의료법인 힐링의료재단 옥천성모병원,36.3142980,127.5720742
경기도의료원포천병원,37.9030845,127.1983376
인천힘찬종합병원,37.4010593,126.7146863
의료법인동춘의료재단문경제일병원,36.5844703,128.189325
인천적십자병원,37.4185604,126.6875282
